team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Lakers,109,0.5128,0.36,0.8,7,44,23,2,9,15,2018-11-21
Cavaliers,105,0.3824,0.3824,0.4118,15,31,18,3,2,3,2018-11-21
Cavaliers,121,0.5269,0.5,0.5455,14,28,16,7,1,8,2018-11-23
76ers,112,0.5333,0.3636,0.6061,4,27,27,5,2,10,2018-11-23
Rockets,108,0.5,0.3846,0.4872,8,23,18,5,4,16,2018-11-24
Cavaliers,117,0.4889,0.3182,1.0,20,29,15,11,2,13,2018-11-24
Timberwolves,102,0.4651,0.3077,0.5385,8,31,18,8,8,8,2018-11-26
Cavaliers,95,0.4186,0.3226,0.4194,9,31,24,4,3,16,2018-11-26
Cavaliers,83,0.3933,0.3913,0.1739,7,36,20,4,1,12,2018-11-28
Thunder,100,0.4767,0.2222,0.4444,8,42,25,5,11,13,2018-11-28
Raptors,106,0.4875,0.2692,0.8077,6,36,15,5,5,10,2018-12-01
Cavaliers,95,0.3864,0.2273,1.0,11,33,14,6,0,11,2018-12-01
Warriors,129,0.5294,0.5294,0.6176,9,37,29,6,5,8,2018-12-05
Cavaliers,105,0.4382,0.3438,0.5,12,29,17,7,2,10,2018-12-05
Kings,129,0.5714,0.4483,0.1379,10,25,31,6,5,9,2018-12-07
Cavaliers,110,0.5309,0.3846,0.5385,7,28,20,4,0,16,2018-12-07
Wizards,101,0.4419,0.3684,0.2895,8,25,26,3,3,8,2018-12-08
Cavaliers,116,0.5281,0.4839,0.2258,12,37,26,5,5,7,2018-12-08
Cavaliers,92,0.375,0.3333,0.3333,8,38,24,5,2,9,2018-12-10
Bucks,108,0.4375,0.4167,0.25,12,46,22,4,4,14,2018-12-10
Knicks,106,0.4362,0.4074,0.4815,9,34,21,7,7,12,2018-12-12
Cavaliers,113,0.4725,0.2941,0.5,12,39,19,7,4,12,2018-12-12
Bucks,114,0.4255,0.2927,0.5366,14,39,26,9,6,9,2018-12-14
Cavaliers,102,0.4023,0.3611,0.5278,13,37,24,7,2,15,2018-12-14
76ers,128,0.5604,0.4074,0.5556,12,36,32,5,9,10,2018-12-16
Cavaliers,105,0.4659,0.4,0.3667,6,27,28,8,0,12,2018-12-16
Cavaliers,92,0.4176,0.1935,0.3226,12,39,19,7,5,9,2018-12-18
Pacers,91,0.3978,0.1818,0.5909,14,38,21,7,9,9,2018-12-18
Cavaliers,110,0.4756,0.375,0.9583,11,29,20,5,5,11,2018-12-21
Raptors,126,0.5275,0.2903,0.6774,13,31,21,9,5,8,2018-12-21
Cavaliers,87,0.3548,0.3103,0.4138,19,34,19,9,1,16,2018-12-26
Grizzlies,95,0.5,0.2273,0.8182,3,31,22,7,9,12,2018-12-26
Cavaliers,94,0.3827,0.3514,0.5135,9,33,21,6,2,14,2018-12-28
Heat,118,0.5275,0.3226,0.3871,10,35,29,8,5,7,2018-12-28
Heat,117,0.5116,0.5161,0.4194,13,34,29,8,3,13,2019-01-02
Cavaliers,92,0.4533,0.4194,0.3548,2,20,23,8,3,12,2019-01-02
Jazz,117,0.5122,0.4,0.5429,8,39,28,6,9,11,2019-01-04
Cavaliers,91,0.3902,0.5238,0.7619,7,32,14,6,1,13,2019-01-04
Pelicans,133,0.5802,0.5185,0.9259,10,34,29,13,7,14,2019-01-05
Cavaliers,98,0.4091,0.3636,0.4242,10,24,22,12,3,17,2019-01-05
Pacers,123,0.5385,0.3846,0.5769,6,26,34,11,0,6,2019-01-08
Cavaliers,115,0.5395,0.4483,0.6897,8,27,24,4,3,16,2019-01-08
Cavaliers,124,0.4773,0.4667,0.8667,9,22,27,7,3,13,2019-01-09
Pelicans,140,0.5476,0.4138,1.2414,11,33,33,7,7,16,2019-01-09
Cavaliers,113,0.4494,0.2727,0.7273,6,33,24,12,4,13,2019-01-11
Rockets,141,0.5169,0.3846,0.5577,8,37,28,8,9,15,2019-01-11
Cavaliers,101,0.427,0.381,0.8095,10,42,18,5,2,10,2019-01-13
Lakers,95,0.3956,0.2059,0.4706,13,38,21,4,5,11,2019-01-13
Cavaliers,112,0.4737,0.3158,0.8421,12,29,17,0,5,3,2019-01-16
Trail Blazers,129,0.5281,0.5517,0.6552,7,34,28,1,6,4,2019-01-16
Cavaliers,99,0.4138,0.2917,0.8333,6,31,16,9,3,14,2019-01-18
Jazz,115,0.5176,0.3514,0.3784,8,40,33,6,5,19,2019-01-18
Cavaliers,102,0.4861,0.3448,0.7586,5,23,20,5,1,12,2019-01-19
Nuggets,124,0.5618,0.4054,0.2432,12,31,33,7,2,11,2019-01-19
Heat,100,0.4684,0.3913,0.7391,11,36,19,6,4,14,2019-01-25
Cavaliers,94,0.4353,0.3333,0.3333,9,33,23,8,2,13,2019-01-25
Wizards,113,0.4828,0.3333,0.4722,3,33,31,8,1,6,2019-01-29
Cavaliers,116,0.5357,0.4412,0.3235,7,41,30,3,2,15,2019-01-29
Mavericks,111,0.4762,0.4103,0.3846,9,41,20,2,4,13,2019-02-02
Cavaliers,98,0.4,0.1739,1.1304,11,33,20,7,2,6,2019-02-02
Cavaliers,106,0.375,0.3158,0.5789,17,35,21,6,3,14,2019-02-08
Wizards,119,0.5,0.3429,0.4286,10,38,35,10,4,16,2019-02-08
Cavaliers,90,0.443,0.4444,0.1111,5,25,23,3,2,12,2019-02-09
Pacers,105,0.5357,0.3462,0.2308,6,37,31,8,5,9,2019-02-09
Knicks,104,0.4565,0.2692,0.5,10,36,21,8,9,10,2019-02-11
Cavaliers,107,0.4,0.3182,0.3864,17,39,20,6,2,18,2019-02-11
Suns,98,0.4167,0.3125,0.5625,11,27,26,12,6,17,2019-02-21
Cavaliers,111,0.4941,0.3611,0.3889,10,41,34,11,4,15,2019-02-21
Grizzlies,107,0.4444,0.2,0.88,15,28,18,7,6,12,2019-02-23
Cavaliers,112,0.4432,0.381,0.4286,14,38,25,6,3,18,2019-02-23
Trail Blazers,123,0.5641,0.6207,0.5862,6,39,26,5,6,13,2019-02-25
Cavaliers,110,0.4157,0.3824,0.6765,13,27,22,4,1,7,2019-02-25
Cavaliers,125,0.5125,0.4118,0.8529,8,32,24,5,3,11,2019-02-28
Knicks,118,0.4842,0.3438,0.4688,14,26,26,4,3,8,2019-02-28
Pistons,129,0.5402,0.5405,0.4054,9,42,27,5,8,9,2019-03-02
Cavaliers,93,0.3418,0.3824,0.7647,9,24,15,7,1,12,2019-03-02
Magic,93,0.4432,0.2308,0.3462,8,33,23,5,4,11,2019-03-03
Cavaliers,107,0.4337,0.3256,0.4884,9,35,20,7,2,11,2019-03-03
Cavaliers,110,0.4815,0.4419,0.3023,6,22,28,6,1,15,2019-03-08
Heat,126,0.5696,0.48,0.96,14,31,31,5,5,12,2019-03-08
Raptors,101,0.4762,0.2821,0.2564,6,37,20,8,3,20,2019-03-11
Cavaliers,126,0.4681,0.439,0.4878,11,40,27,8,1,12,2019-03-11
Cavaliers,99,0.396,0.3421,0.1579,9,28,14,8,2,7,2019-03-12
76ers,106,0.4941,0.3478,0.6087,12,48,25,4,7,21,2019-03-12
Cavaliers,91,0.407,0.2258,0.4516,8,35,13,4,4,15,2019-03-14
Magic,120,0.4839,0.4516,0.5161,12,38,31,11,3,9,2019-03-14
Cavaliers,116,0.4651,0.3947,0.5526,6,27,20,1,0,6,2019-03-16
Mavericks,121,0.5169,0.4706,0.3824,9,31,32,3,5,5,2019-03-16
Pistons,119,0.4468,0.4091,0.3864,19,28,24,6,4,11,2019-03-18
Cavaliers,126,0.5823,0.5,1.0455,5,31,22,6,3,8,2019-03-18
Bucks,102,0.3956,0.4062,0.5312,11,40,24,9,7,9,2019-03-20
Cavaliers,107,0.4194,0.2821,0.4615,13,41,18,4,6,11,2019-03-20
Clippers,110,0.5122,0.2308,0.7692,7,36,24,6,6,11,2019-03-22
Cavaliers,108,0.4778,0.3871,0.3226,8,33,14,7,2,13,2019-03-22
Cavaliers,105,0.4271,0.2683,0.2927,12,33,23,6,1,12,2019-03-24
Bucks,127,0.5517,0.3659,0.3902,4,41,26,8,7,9,2019-03-24
Mavericks,100,0.4318,0.303,0.4242,10,28,28,7,5,9,2018-10-17
Suns,121,0.5432,0.5588,0.4118,6,38,35,5,2,11,2018-10-17
Timberwolves,136,0.5238,0.5185,1.2593,6,27,23,10,3,17,2018-10-20
Mavericks,140,0.5,0.34,0.5,15,27,29,8,8,16,2018-10-20
Mavericks,107,0.413,0.4,0.6333,10,34,22,6,6,14,2018-10-26
Raptors,116,0.4835,0.4074,0.6296,12,38,23,10,5,12,2018-10-26
Jazz,113,0.525,0.4,0.76,8,35,25,8,6,18,2018-10-28
Mavericks,104,0.4176,0.3214,0.6786,12,31,24,6,3,13,2018-10-28
Mavericks,108,0.4725,0.2941,0.3529,8,41,15,9,3,22,2018-10-29
Spurs,113,0.4615,0.45,1.0,5,36,27,17,2,17,2018-10-29
Mavericks,113,0.5,0.4483,0.4828,10,30,24,5,5,23,2018-10-31
Lakers,114,0.5119,0.5882,1.0588,8,31,23,12,6,20,2018-10-31
Knicks,118,0.5476,0.2414,0.6552,10,30,26,13,4,12,2018-11-02
Mavericks,106,0.4938,0.3793,0.5172,11,29,22,6,1,18,2018-11-02
Wizards,100,0.4253,0.3143,0.4286,5,27,27,8,6,10,2018-11-06
Mavericks,119,0.4756,0.4412,0.7647,10,40,25,4,6,17,2018-11-06
Mavericks,102,0.3973,0.3333,1.5,12,37,14,3,4,24,2018-11-07
Jazz,117,0.4831,0.3514,0.4865,8,27,31,12,10,11,2018-11-07
Thunder,96,0.3918,0.2647,0.3235,26,27,17,9,2,16,2018-11-10
Mavericks,111,0.5584,0.4828,0.3793,4,34,31,9,5,16,2018-11-10
Jazz,68,0.3086,0.1714,0.3429,8,25,16,11,3,21,2018-11-14
Mavericks,118,0.5844,0.4286,0.5714,7,44,24,12,6,19,2018-11-14
Warriors,109,0.4468,0.2727,0.4848,12,35,24,6,6,12,2018-11-17
Mavericks,112,0.4651,0.2941,0.6471,8,38,18,6,5,10,2018-11-17
Mavericks,88,0.3409,0.3125,0.5625,7,36,17,8,4,9,2018-11-19
Grizzlies,98,0.4684,0.4,0.4,5,40,29,8,11,15,2018-11-19
Mavericks,128,0.5412,0.5,0.5588,10,27,27,10,7,14,2018-11-28
Rockets,108,0.4598,0.2889,0.3333,15,23,28,10,5,16,2018-11-28
Mavericks,103,0.3953,0.2564,0.641,9,37,20,9,4,16,2018-11-30
Lakers,114,0.4884,0.3,0.7,9,38,23,8,3,17,2018-11-30
Clippers,110,0.4421,0.375,0.7083,8,36,23,9,5,10,2018-12-02
Mavericks,114,0.4421,0.3478,0.9565,17,47,20,6,5,16,2018-12-02
Trail Blazers,102,0.4524,0.2917,0.7917,11,37,20,7,6,18,2018-12-04
Mavericks,111,0.4318,0.3667,0.8,15,35,25,11,4,13,2018-12-04
Mavericks,106,0.4286,0.3043,0.3043,11,34,26,7,4,18,2018-12-05
Pelicans,132,0.5543,0.5862,0.4483,5,41,36,12,6,11,2018-12-05
Rockets,104,0.4535,0.3191,0.234,10,26,20,5,3,12,2018-12-08
Mavericks,107,0.494,0.4,0.4333,14,30,21,9,3,15,2018-12-08
Magic,76,0.3596,0.2857,0.1429,7,35,18,8,2,15,2018-12-10
Mavericks,101,0.4268,0.2857,0.6,9,43,28,7,4,12,2018-12-10
Mavericks,89,0.3974,0.1515,0.6667,14,39,14,7,4,23,2018-12-13
Suns,99,0.4022,0.3704,0.5556,12,28,20,15,5,13,2018-12-13
Kings,120,0.4694,0.2903,0.6129,11,36,20,6,7,9,2018-12-16
Mavericks,113,0.4167,0.2571,0.6857,16,37,22,6,5,14,2018-12-16
Mavericks,118,0.4651,0.4054,0.6216,6,27,26,8,1,8,2018-12-18
Nuggets,126,0.5556,0.4138,0.4828,12,35,33,7,3,15,2018-12-18
Mavericks,121,0.4674,0.3571,0.8929,16,29,24,8,0,11,2018-12-20
Clippers,125,0.5663,0.3,1.25,11,29,26,5,5,12,2018-12-20
Mavericks,116,0.4565,0.359,0.4615,11,35,28,9,3,13,2018-12-22
Warriors,120,0.4592,0.3488,0.3488,15,39,34,7,7,13,2018-12-22
Mavericks,118,0.4175,0.3529,0.5882,8,41,22,1,2,9,2018-12-23
Trail Blazers,121,0.4712,0.2895,0.3158,7,46,29,5,6,9,2018-12-23
Pelicans,119,0.4667,0.4444,0.8519,7,32,25,4,2,10,2018-12-26
Mavericks,122,0.4815,0.3429,0.9143,8,38,23,3,13,12,2018-12-26
Mavericks,112,0.4744,0.4688,0.7188,11,28,19,7,6,16,2018-12-28
Pelicans,114,0.4583,0.1739,0.9565,20,29,22,7,4,11,2018-12-28
Thunder,103,0.4301,0.2368,0.3684,7,32,17,15,2,11,2018-12-30
Mavericks,105,0.4568,0.359,0.4359,9,40,21,8,3,23,2018-12-30
Mavericks,102,0.4189,0.3684,0.6842,5,44,21,7,3,27,2018-12-31
Thunder,122,0.4466,0.25,1.0,11,35,22,13,3,10,2018-12-31
Mavericks,100,0.4318,0.2903,0.4839,9,40,27,4,3,15,2019-01-05
76ers,106,0.4699,0.2308,0.8462,8,41,31,7,5,10,2019-01-05
Lakers,107,0.4362,0.2759,0.5862,11,33,28,12,2,13,2019-01-07
Mavericks,97,0.4186,0.2667,0.5667,14,38,12,10,7,18,2019-01-07
Suns,94,0.4286,0.28,0.6,7,30,22,10,8,15,2019-01-09
Mavericks,104,0.4286,0.3529,0.9412,8,34,21,7,5,19,2019-01-09
Mavericks,119,0.4536,0.3421,0.4737,11,32,25,7,7,7,2019-01-11
Timberwolves,115,0.4608,0.4167,0.4583,17,36,27,5,10,13,2019-01-11
Warriors,119,0.4545,0.4222,0.2222,16,33,26,9,8,10,2019-01-13
Mavericks,114,0.4176,0.4211,0.5789,18,33,21,5,4,12,2019-01-13
Spurs,105,0.494,0.4333,0.3333,11,25,26,9,6,9,2019-01-16
Mavericks,101,0.4302,0.3571,0.2857,13,29,22,6,3,13,2019-01-16
Mavericks,99,0.4205,0.2432,0.4324,14,30,21,5,4,13,2019-01-19
Pacers,111,0.4941,0.3333,0.7917,11,34,23,6,4,11,2019-01-19
Mavericks,106,0.4141,0.35,0.25,11,37,24,7,11,11,2019-01-21
Bucks,116,0.4615,0.375,0.625,8,43,21,9,7,14,2019-01-21
Clippers,98,0.3626,0.2778,0.6111,14,27,19,4,4,7,2019-01-22
Mavericks,106,0.4691,0.2941,0.5882,9,39,21,5,6,11,2019-01-22
Pistons,101,0.4118,0.3158,0.5,13,33,22,6,0,12,2019-01-25
Mavericks,106,0.4568,0.3889,0.5,9,34,24,8,6,9,2019-01-25
Raptors,123,0.4458,0.5,0.9412,8,36,24,6,5,7,2019-01-27
Mavericks,120,0.4886,0.3056,0.6389,7,36,25,5,2,11,2019-01-27
Mavericks,114,0.5357,0.3947,0.2368,7,42,31,4,1,18,2019-01-30
Knicks,90,0.4103,0.2308,0.7692,5,29,16,10,5,12,2019-01-30
Mavericks,89,0.4091,0.28,0.4,11,33,18,2,5,10,2019-01-31
Pistons,93,0.3837,0.2727,0.5455,15,37,21,5,5,11,2019-01-31
Bucks,122,0.5484,0.2778,0.2778,10,41,25,4,5,12,2019-02-08
Mavericks,107,0.4138,0.4151,0.2453,9,28,23,6,5,14,2019-02-08
Trail Blazers,101,0.4884,0.3103,0.2759,12,36,24,7,4,19,2019-02-10
Mavericks,102,0.4138,0.3243,0.4865,11,28,20,6,3,15,2019-02-10
Mavericks,104,0.4795,0.3611,0.5833,3,30,21,5,1,18,2019-02-11
Rockets,120,0.4667,0.3833,0.2167,9,29,28,13,5,9,2019-02-11
Heat,112,0.5432,0.4,0.4,7,40,24,8,3,18,2019-02-13
Mavericks,101,0.3864,0.2885,0.3462,10,28,24,10,0,12,2019-02-13
Nuggets,114,0.4078,0.3784,0.4324,21,42,32,11,2,13,2019-02-22
Mavericks,104,0.4048,0.2439,0.6341,7,35,19,7,2,15,2019-02-22
Mavericks,109,0.4227,0.3611,0.3889,8,34,25,2,3,3,2019-02-23
Jazz,125,0.4824,0.3684,0.7632,8,45,28,2,9,7,2019-02-23
Mavericks,112,0.4868,0.3889,0.6667,7,38,28,3,9,17,2019-02-25
Clippers,121,0.45,0.3778,0.3111,9,31,33,11,4,5,2019-02-25
Pacers,101,0.4805,0.3571,0.6071,6,32,19,10,3,14,2019-02-27
Mavericks,110,0.4938,0.4324,0.3784,10,32,27,11,1,15,2019-02-27
Grizzlies,111,0.5,0.4118,0.5588,4,46,30,4,6,15,2019-03-02
Mavericks,81,0.3059,0.175,0.55,13,30,17,9,5,10,2019-03-02
Mavericks,123,0.4839,0.3659,0.439,14,25,27,7,2,7,2019-03-06
Wizards,132,0.5376,0.3636,0.6061,15,34,30,3,2,12,2019-03-06
Mavericks,106,0.4719,0.2941,0.3529,10,32,22,6,3,14,2019-03-08
Magic,111,0.4828,0.4828,0.4483,11,37,26,9,5,14,2019-03-08
Rockets,94,0.3636,0.3077,0.2692,13,28,18,6,4,12,2019-03-10
Mavericks,93,0.4133,0.2812,0.6875,10,41,24,6,9,16,2019-03-10
Spurs,112,0.5244,0.3636,0.8182,7,31,26,11,3,12,2019-03-12
Mavericks,105,0.4634,0.359,0.3846,9,29,22,1,2,14,2019-03-12
Mavericks,99,0.4253,0.3243,0.3514,9,31,22,8,1,8,2019-03-14
Nuggets,100,0.4815,0.2759,0.4828,8,36,27,6,7,11,2019-03-14
Pelicans,129,0.4712,0.3077,0.4872,14,41,34,7,6,17,2019-03-18
Mavericks,125,0.4381,0.2571,0.6857,14,36,27,9,6,15,2019-03-18
Mavericks,118,0.4943,0.3333,0.7333,6,29,20,8,6,11,2019-03-20
Trail Blazers,126,0.4945,0.4444,0.5556,12,36,23,6,4,14,2019-03-20
Mavericks,100,0.3913,0.3,0.4,9,34,23,5,6,7,2019-03-21
Kings,116,0.4713,0.3714,0.6,12,46,24,7,9,12,2019-03-21
Mavericks,126,0.5301,0.4286,0.3469,8,41,33,7,2,9,2019-03-23
Warriors,91,0.4,0.1333,0.5,8,28,22,6,2,10,2019-03-23
Nuggets,107,0.3793,0.3333,1.375,14,42,20,6,9,10,2018-10-17
Clippers,98,0.3977,0.2857,0.7143,9,38,21,3,9,12,2018-10-17
Suns,91,0.3766,0.2821,0.5641,10,30,20,6,4,19,2018-10-20
Nuggets,119,0.5059,0.3214,0.8571,9,45,28,12,6,18,2018-10-20
Warriors,98,0.4557,0.2414,0.6552,6,34,22,4,6,18,2018-10-21
Nuggets,100,0.407,0.1875,0.75,13,34,21,11,4,8,2018-10-21
Kings,112,0.5233,0.4194,0.2903,9,30,29,7,6,16,2018-10-23
Nuggets,126,0.5152,0.3667,0.4333,15,34,31,11,3,12,2018-10-23
Nuggets,114,0.5,0.2609,0.6957,10,34,22,8,5,19,2018-10-25
Lakers,121,0.5,0.3448,0.6552,9,33,27,13,3,13,2018-10-25
Pelicans,111,0.5244,0.4583,0.5833,7,37,28,8,5,22,2018-10-29
Nuggets,116,0.4516,0.3143,0.6,9,32,28,14,5,13,2018-10-29
Jazz,88,0.4074,0.1935,0.5161,10,30,22,12,7,12,2018-11-03
Nuggets,103,0.494,0.3214,0.4286,8,40,32,8,0,17,2018-11-03
Nuggets,87,0.3902,0.25,0.4688,13,28,19,9,3,16,2018-11-07
Grizzlies,89,0.4286,0.381,1.0,8,28,19,7,7,17,2018-11-07
Bucks,121,0.5714,0.5,0.2353,5,36,27,10,7,12,2018-11-11
Nuggets,114,0.4607,0.4737,0.3684,10,29,27,8,5,10,2018-11-11
Rockets,109,0.5493,0.3514,0.4865,6,26,23,7,6,14,2018-11-13
Nuggets,99,0.5,0.44,0.48,7,24,27,11,2,16,2018-11-13
Nuggets,115,0.4842,0.3846,0.2051,10,33,30,5,6,13,2018-11-17
Pelicans,125,0.4828,0.4,1.24,10,36,29,6,8,11,2018-11-17
Nuggets,98,0.4255,0.2927,0.1463,13,30,30,6,4,17,2018-11-19
Bucks,104,0.4545,0.3056,0.3611,13,38,21,8,3,15,2018-11-19
Nuggets,103,0.4719,0.4,0.1429,9,31,29,12,4,13,2018-11-21
Timberwolves,101,0.443,0.2812,0.6875,8,32,24,8,3,17,2018-11-21
Magic,87,0.4051,0.25,0.4688,4,33,24,7,2,13,2018-11-23
Nuggets,112,0.4731,0.3214,0.5357,12,39,33,10,5,11,2018-11-23
Nuggets,105,0.4105,0.3333,0.5667,15,39,26,6,9,14,2018-11-24
Thunder,98,0.3592,0.2308,0.3846,19,35,22,9,5,10,2018-11-24
Lakers,85,0.3908,0.1429,0.3429,8,31,19,5,8,12,2018-11-27
Nuggets,117,0.4845,0.36,0.56,16,44,28,7,4,11,2018-11-27
Nuggets,113,0.4598,0.4667,0.6333,13,28,28,11,3,11,2018-11-30
Trail Blazers,112,0.5294,0.2727,0.7273,12,32,19,7,6,14,2018-11-30
Nuggets,106,0.4494,0.3929,0.5357,15,34,32,9,2,20,2018-12-03
Raptors,103,0.4598,0.2683,0.2927,7,34,28,11,5,17,2018-12-03
Nuggets,124,0.5488,0.5789,1.2105,4,39,34,5,2,10,2018-12-05
Magic,118,0.4737,0.4082,0.1633,6,34,30,4,4,9,2018-12-05
Grizzlies,99,0.5,0.3333,0.5926,6,28,22,7,4,14,2018-12-10
Nuggets,105,0.5065,0.3214,0.6429,11,29,22,11,6,13,2018-12-10
Thunder,98,0.4111,0.3684,0.8947,19,24,14,9,4,13,2018-12-14
Nuggets,109,0.506,0.3235,0.4118,12,36,29,8,6,20,2018-12-14
Raptors,86,0.3977,0.2,0.2571,13,38,13,5,4,11,2018-12-16
Nuggets,95,0.4235,0.3333,0.4333,10,34,21,7,4,8,2018-12-16
Nuggets,111,0.4227,0.2903,0.6452,13,24,21,10,5,9,2018-12-22
Clippers,132,0.5761,0.5,0.8,13,43,28,7,5,15,2018-12-22
Nuggets,103,0.3889,0.45,0.375,11,36,29,10,3,12,2018-12-26
Spurs,111,0.4667,0.3125,0.5312,7,43,29,6,4,10,2018-12-26
Spurs,99,0.4494,0.2963,0.4074,12,26,23,14,3,10,2018-12-28
Nuggets,102,0.4588,0.3448,0.4828,16,36,29,5,4,20,2018-12-28
Nuggets,122,0.5526,0.5143,0.5714,10,30,31,10,3,21,2018-12-29
Suns,118,0.5385,0.3793,0.3103,12,25,29,15,5,13,2018-12-29
Knicks,108,0.4516,0.4074,0.4815,15,28,28,4,3,8,2019-01-01
Nuggets,115,0.4632,0.3529,0.4412,16,37,36,7,6,8,2019-01-01
Nuggets,117,0.4607,0.359,0.5385,16,38,24,3,3,14,2019-01-03
Kings,113,0.5,0.4194,0.3226,7,26,25,5,3,8,2019-01-03
Nuggets,113,0.4731,0.2414,0.6207,14,32,26,7,3,14,2019-01-07
Rockets,125,0.5,0.4681,0.5745,4,30,28,8,3,15,2019-01-07
Nuggets,103,0.4713,0.3333,0.4444,15,35,32,2,2,16,2019-01-08
Heat,99,0.4578,0.2581,0.4839,9,29,24,9,8,6,2019-01-08
Clippers,100,0.4368,0.25,0.75,8,30,21,4,6,12,2019-01-10
Nuggets,121,0.5051,0.3929,0.3571,15,38,29,7,8,9,2019-01-10
Nuggets,93,0.3864,0.3226,0.4839,13,37,25,7,6,15,2019-01-12
Suns,102,0.413,0.3077,0.6923,14,35,29,11,9,9,2019-01-12
Trail Blazers,113,0.4545,0.3529,0.6176,8,31,25,5,1,9,2019-01-13
Nuggets,116,0.5556,0.4091,0.7727,4,31,21,5,0,11,2019-01-13
Warriors,142,0.6,0.5385,0.1795,12,38,38,6,4,10,2019-01-15
Nuggets,111,0.4565,0.4118,0.3824,9,27,30,4,3,8,2019-01-15
Nuggets,108,0.4773,0.2963,0.5926,12,38,20,7,9,14,2019-01-23
Jazz,114,0.4318,0.413,0.413,12,28,28,7,7,13,2019-01-23
Suns,95,0.4211,0.2333,0.8,2,33,20,4,7,15,2019-01-25
Nuggets,132,0.5,0.4167,0.6389,16,41,26,9,1,12,2019-01-25
76ers,110,0.4176,0.3889,0.5556,11,30,29,7,2,12,2019-01-26
Nuggets,126,0.5106,0.3333,0.9167,11,40,27,4,4,10,2019-01-26
Nuggets,95,0.4405,0.2222,0.3611,9,28,17,10,2,15,2019-01-28
Grizzlies,92,0.4487,0.2812,0.4062,9,33,26,5,7,19,2019-01-28
Nuggets,105,0.4719,0.3,0.4,6,37,31,10,7,9,2019-01-30
Pelicans,99,0.4157,0.4167,0.2778,8,40,27,4,4,14,2019-01-30
Rockets,122,0.5294,0.3636,0.3636,11,19,23,6,3,10,2019-02-01
Nuggets,136,0.622,0.4516,0.6452,10,26,37,7,4,8,2019-02-01
Nuggets,107,0.4719,0.3939,0.303,15,33,29,3,7,10,2019-02-02
Timberwolves,106,0.4719,0.3235,0.3235,8,33,27,6,4,8,2019-02-02
Nuggets,103,0.4457,0.3214,0.4286,10,22,28,10,3,13,2019-02-04
Pistons,129,0.5455,0.4324,0.4595,16,37,32,8,8,20,2019-02-04
Nuggets,110,0.4894,0.2308,0.4615,8,32,35,5,3,12,2019-02-08
76ers,117,0.5,0.4545,1.3182,7,35,23,7,5,17,2019-02-08
Heat,87,0.4146,0.2727,0.303,7,40,23,10,5,16,2019-02-11
Nuggets,103,0.427,0.4324,0.2973,10,35,27,7,6,15,2019-02-11
Kings,118,0.4516,0.3438,0.7188,10,34,30,12,1,12,2019-02-13
Nuggets,120,0.4545,0.2581,0.7097,14,39,26,7,1,13,2019-02-13
Clippers,96,0.3448,0.1429,1.5714,7,31,20,9,7,17,2019-02-24
Nuggets,123,0.5176,0.3529,0.6765,12,44,30,11,6,22,2019-02-24
Thunder,112,0.4526,0.2632,0.4211,14,32,31,10,5,17,2019-02-26
Nuggets,121,0.4659,0.4643,0.9286,11,36,28,9,4,18,2019-02-26
Jazz,111,0.4405,0.3721,0.4884,10,34,25,6,6,11,2019-02-28
Nuggets,104,0.404,0.28,0.68,16,39,25,6,5,12,2019-02-28
Pelicans,120,0.4891,0.4,0.6,12,35,28,10,4,21,2019-03-02
Nuggets,112,0.4239,0.2812,0.7812,10,34,25,13,7,16,2019-03-02
Nuggets,103,0.4316,0.425,0.1,8,35,27,5,3,12,2019-03-04
Spurs,104,0.4824,0.32,0.56,6,37,27,8,7,9,2019-03-04
Nuggets,115,0.4592,0.3095,0.2857,18,37,33,6,3,8,2019-03-06
Lakers,99,0.4762,0.2258,0.3871,5,36,26,5,4,12,2019-03-06
Nuggets,105,0.3793,0.3636,0.8182,14,32,21,9,3,17,2019-03-08
Warriors,122,0.5357,0.5143,0.4,7,36,32,11,10,17,2019-03-08
Timberwolves,107,0.4607,0.3667,0.4667,12,23,24,10,6,14,2019-03-12
Nuggets,133,0.6,0.6,0.4333,7,29,40,6,6,14,2019-03-12
Pacers,100,0.4533,0.25,1.0833,8,33,20,6,2,9,2019-03-16
Nuggets,102,0.4756,0.2895,0.3421,9,30,27,6,5,10,2019-03-16
Nuggets,113,0.5287,0.4667,0.2333,9,31,30,9,4,8,2019-03-21
Wizards,108,0.5063,0.2857,0.7143,6,32,25,4,2,12,2019-03-21
Nuggets,111,0.4167,0.3947,0.4211,17,45,24,5,5,8,2019-03-22
Knicks,93,0.3778,0.2812,0.5,8,37,20,3,5,7,2019-03-22
Nuggets,88,0.3548,0.2414,0.5172,15,26,21,5,7,17,2019-03-24
Pacers,124,0.5604,0.4444,0.7778,10,39,34,9,5,11,2019-03-24
76ers,132,0.5,0.3256,0.4651,8,40,32,3,8,11,2018-10-23
Pistons,133,0.4722,0.3636,0.5758,12,34,22,4,4,8,2018-10-23
Pistons,99,0.3976,0.1667,0.9333,7,37,16,8,3,17,2018-11-03
76ers,109,0.4058,0.3103,1.5172,3,42,21,11,3,17,2018-11-03
Heat,120,0.449,0.3871,0.6452,9,41,24,10,8,17,2018-11-05
Pistons,115,0.4095,0.3143,0.5143,21,39,27,8,3,19,2018-11-05
