team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
76ers,97,0.4769,0.2,1.55,9,37,16,6,1,27,2018-11-04
Nets,122,0.4762,0.3214,0.4643,15,23,27,11,3,9,2018-11-04
Nets,104,0.4457,0.25,0.3611,13,39,22,9,5,10,2018-11-06
Suns,82,0.3457,0.36,0.68,9,40,16,4,3,20,2018-11-06
Nets,112,0.4091,0.3636,0.8485,12,30,21,7,9,8,2018-11-09
Nuggets,110,0.4598,0.2778,1.3889,15,39,20,3,5,12,2018-11-09
Nets,100,0.4675,0.2917,0.875,12,29,20,7,2,14,2018-11-10
Warriors,116,0.5542,0.4375,1.0625,6,30,27,9,7,10,2018-11-10
Nets,113,0.396,0.36,0.3,19,23,28,10,2,13,2018-11-12
Timberwolves,120,0.525,0.4348,1.1304,9,43,26,8,6,23,2018-11-12
Heat,120,0.5412,0.2759,0.6897,6,41,23,6,6,17,2018-11-14
Nets,107,0.4059,0.2857,0.6071,16,30,17,10,2,15,2018-11-14
Nets,115,0.4222,0.2727,0.9091,13,34,19,8,3,11,2018-11-16
Wizards,104,0.4253,0.1667,1.5,12,35,18,5,4,13,2018-11-16
Clippers,127,0.5053,0.4783,0.8696,9,29,23,4,1,8,2018-11-17
Nets,119,0.4545,0.4643,0.9286,15,32,25,4,5,11,2018-11-17
Nets,104,0.4318,0.2581,0.6452,13,40,17,6,4,11,2018-11-20
Heat,92,0.36,0.2188,0.4062,18,34,18,5,6,14,2018-11-20
Nets,113,0.4468,0.3333,0.3571,16,26,23,8,2,14,2018-11-21
Mavericks,119,0.4872,0.4074,1.1852,8,37,21,10,3,13,2018-11-21
Timberwolves,112,0.4783,0.36,0.6,9,29,25,15,4,7,2018-11-23
Nets,102,0.4177,0.3111,0.4889,9,37,26,2,4,18,2018-11-23
76ers,127,0.4835,0.4138,0.931,13,29,28,9,6,9,2018-11-25
Nets,125,0.5682,0.4,0.6,10,33,19,2,4,16,2018-11-25
Jazz,101,0.4756,0.3214,0.5,8,40,17,10,6,19,2018-11-28
Nets,91,0.3488,0.3667,0.6667,14,34,11,12,5,20,2018-11-28
Grizzlies,131,0.495,0.4,0.6333,11,34,27,8,6,17,2018-11-30
Nets,125,0.4468,0.3636,0.5682,11,40,26,7,4,16,2018-11-30
Nets,88,0.3704,0.2424,0.6061,11,31,19,8,2,17,2018-12-01
Wizards,102,0.519,0.3077,0.4615,2,36,19,8,3,13,2018-12-01
Cavaliers,99,0.4318,0.2667,1.2667,14,41,15,5,4,9,2018-12-03
Nets,97,0.3939,0.25,0.225,17,33,17,5,2,7,2018-12-03
Thunder,114,0.4343,0.3421,0.3947,17,43,28,8,6,13,2018-12-05
Nets,112,0.4302,0.4167,0.6389,10,35,21,7,4,14,2018-12-05
Raptors,105,0.3933,0.3143,0.6857,6,35,25,9,7,15,2018-12-07
Nets,106,0.4388,0.3143,0.2571,16,44,22,8,2,20,2018-12-07
Nets,112,0.4886,0.5,0.6818,12,33,27,5,5,12,2018-12-08
Knicks,104,0.4699,0.3077,0.6923,9,31,22,8,2,12,2018-12-08
Nets,127,0.5135,0.5,1.3214,7,30,20,10,1,16,2018-12-12
76ers,124,0.5495,0.4286,0.4286,10,27,31,11,3,17,2018-12-12
Wizards,118,0.5444,0.3793,0.3103,4,22,30,3,3,9,2018-12-14
Nets,125,0.5238,0.3548,0.8387,9,36,34,5,3,9,2018-12-14
Lakers,110,0.4667,0.325,0.325,8,40,21,6,4,14,2018-12-18
Nets,115,0.4835,0.4118,0.3824,4,36,27,5,4,11,2018-12-18
Nets,96,0.4595,0.32,0.8,7,38,23,3,2,13,2018-12-19
Bulls,93,0.4396,0.3158,0.3684,9,30,21,7,5,8,2018-12-19
Pacers,114,0.5366,0.4231,0.5769,6,23,24,10,8,11,2018-12-21
Nets,106,0.4583,0.5161,0.7742,11,30,28,5,3,20,2018-12-21
Suns,103,0.4831,0.1765,0.8235,10,31,24,10,5,12,2018-12-23
Nets,111,0.4706,0.3704,0.7778,14,35,25,7,4,17,2018-12-23
Hornets,132,0.4434,0.4839,0.7419,12,41,26,8,3,13,2018-12-26
Nets,134,0.4904,0.4043,0.2766,10,47,31,8,7,17,2018-12-26
Nets,87,0.3976,0.1481,0.6296,9,39,15,4,10,14,2018-12-28
Hornets,100,0.41,0.3333,0.2121,12,37,19,4,8,8,2018-12-28
Nets,115,0.481,0.4286,0.6857,5,35,28,6,3,14,2018-12-29
Bucks,129,0.4896,0.4118,0.2745,5,34,30,6,5,10,2018-12-29
Pelicans,121,0.5287,0.4348,0.8261,10,31,19,7,5,12,2019-01-02
Nets,126,0.5054,0.5161,0.5161,12,31,27,7,5,10,2019-01-02
Nets,109,0.4557,0.3824,0.7059,8,37,25,6,2,20,2019-01-04
Grizzlies,100,0.4516,0.2083,0.4583,8,32,23,9,5,13,2019-01-04
